Lat,Long,Geoid2016,BLF55,BLF55_NZVD2016
-47.53333333,167.6666667,0.972,0.2781,-0.6939
-47.53333333,167.7,0.99,0.278,-0.712
-47.53333333,167.7333333,1.012,0.2779,-0.7341
-47.53333333,167.7666667,1.038,0.2777,-0.7603
-47.53333333,167.8,1.066,0.2776,-0.7884
-47.53333333,167.8333333,1.099,0.2774,-0.8216
-47.53333333,167.8666667,1.137,0.2772,-0.8598
-47.53333333,167.9,1.177,0.2771,-0.8999
-47.53333333,167.9333333,1.219,0.2769,-0.9421
-47.53333333,167.9666667,1.259,0.2766,-0.9824
-47.53333333,168,1.3,0.2764,-1.0236
-47.53333333,168.0333333,1.34,0.2761,-1.0639
-47.53333333,168.0666667,1.38,0.2758,-1.1042
-47.53333333,168.1,1.422,0.2755,-1.1465
-47.53333333,168.1333333,1.467,0.2752,-1.1918
-47.53333333,168.1666667,1.512,0.2749,-1.2371
-47.53333333,168.2,1.554,0.2745,-1.2795
-47.53333333,168.2333333,1.595,0.2741,-1.3209
-47.53333333,168.2666667,1.633,0.2737,-1.3593
-47.53333333,168.3,1.67,0.2733,-1.3967
-47.53333333,168.3333333,1.706,0.2729,-1.4331
-47.53333333,168.3666667,1.739,0.2725,-1.4665
-47.53333333,168.4,1.774,0.272,-1.502
-47.53333333,168.4333333,1.804,0.2716,-1.5324
-47.53333333,168.4666667,1.838,0.2711,-1.5669
-47.53333333,168.5,1.869,0.2706,-1.5984
-47.53333333,168.5333333,1.907,0.2701,-1.6369
-47.53333333,168.5666667,1.948,0.2697,-1.6783
-47.53333333,168.6,1.993,0.2692,-1.7238
-47.53333333,168.6333333,2.039,0.2687,-1.7703
-47.53333333,168.6666667,2.086,0.2683,-1.8177
-47.53333333,168.7,2.133,0.2678,-1.8652
-47.53333333,168.7333333,2.177,0.2674,-1.9096
-47.53333333,168.7666667,2.221,0.2669,-1.9541
-47.53333333,168.8,2.261,0.2665,-1.9945
-47.53333333,168.8333333,2.302,0.2661,-2.0359
-47.53333333,168.8666667,2.343,0.2657,-2.0773
-47.53333333,168.9,2.385,0.2653,-2.1197
-47.53333333,168.9333333,2.432,0.265,-2.167
-47.53333333,168.9666667,2.486,0.2646,-2.2214
-47.53333333,169,2.543,0.2643,-2.2787
-47.53333333,169.0333333,2.602,0.264,-2.338
-47.53333333,169.0666667,2.661,0.2637,-2.3973
-47.53333333,169.1,2.715,0.2634,-2.4516
-47.53333333,169.1333333,2.762,0.2631,-2.4989
-47.53333333,169.1666667,2.802,0.2629,-2.5391
-47.53333333,169.2,2.828,0.2626,-2.5654
-47.53333333,169.2333333,2.842,0.2624,-2.5796
-47.53333333,169.2666667,2.848,0.2622,-2.5858
-47.53333333,169.3,2.845,0.262,-2.583
-47.53333333,169.3333333,2.833,0.2618,-2.5712
-47.53333333,169.3666667,2.819,0.2617,-2.5573
-47.53333333,169.4,2.801,0.2615,-2.5395
-47.53333333,169.4333333,2.787,0.2614,-2.5256
-47.53333333,169.4666667,2.773,0.2612,-2.5118
-47.53333333,169.5,2.764,0.2611,-2.5029
-47.53333333,169.5333333,2.761,0.261,-2.5
-47.53333333,169.5666667,2.762,0.2609,-2.5011
-47.53333333,169.6,2.769,0.2608,-2.5082
-47.53333333,169.6333333,2.78,0.2607,-2.5193
-47.53333333,169.6666667,2.794,0.2606,-2.5334
-47.53333333,169.7,2.812,0.2605,-2.5515
-47.53333333,169.7333333,2.835,0.2605,-2.5745
-47.53333333,169.7666667,2.862,0.2604,-2.6016
-47.53333333,169.8,2.894,0.2604,-2.6336
-47.53333333,169.8333333,2.928,0.2603,-2.6677
-47.53333333,169.8666667,2.964,0.2602,-2.7038
-47.53333333,169.9,3.002,0.2602,-2.7418
-47.53333333,169.9333333,3.042,0.2602,-2.7818
-47.53333333,169.9666667,3.084,0.2601,-2.8239
-47.53333333,170,3.123,0.2601,-2.8629
-47.53333333,170.0333333,3.164,0.2601,-2.9039
-47.53333333,170.0666667,3.206,0.26,-2.946
-47.53333333,170.1,3.249,0.26,-2.989
-47.53333333,170.1333333,3.292,0.26,-3.032
-47.53333333,170.1666667,3.337,0.26,-3.077
-47.53333333,170.2,3.378,0.26,-3.118
-47.5,166.8666667,2.28,0.2788,-2.0012
-47.5,166.9,2.128,0.2788,-1.8492
-47.5,166.9333333,1.988,0.2788,-1.7092
-47.5,166.9666667,1.859,0.2788,-1.5802
-47.5,167,1.743,0.2788,-1.4642
-47.5,167.0333333,1.64,0.2788,-1.3612
-47.5,167.0666667,1.547,0.2788,-1.2682
-47.5,167.1,1.461,0.2788,-1.1822
-47.5,167.1333333,1.382,0.2788,-1.1032
-47.5,167.1666667,1.309,0.2788,-1.0302
-47.5,167.2,1.243,0.2788,-0.9642
-47.5,167.2333333,1.184,0.2788,-0.9052
-47.5,167.2666667,1.128,0.2787,-0.8493
-47.5,167.3,1.077,0.2787,-0.7983
-47.5,167.3333333,1.025,0.2787,-0.7463
-47.5,167.3666667,0.976,0.2787,-0.6973
-47.5,167.4,0.93,0.2786,-0.6514
-47.5,167.4333333,0.886,0.2786,-0.6074
-47.5,167.4666667,0.848,0.2785,-0.5695
-47.5,167.5,0.818,0.2785,-0.5395
-47.5,167.5333333,0.799,0.2784,-0.5206
-47.5,167.5666667,0.788,0.2784,-0.5096
-47.5,167.6,0.783,0.2783,-0.5047
-47.5,167.6333333,0.785,0.2782,-0.5068
-47.5,167.6666667,0.791,0.2781,-0.5129
-47.5,167.7,0.804,0.278,-0.526
-47.5,167.7333333,0.819,0.2779,-0.5411
-47.5,167.7666667,0.838,0.2778,-0.5602
-47.5,167.8,0.861,0.2776,-0.5834
-47.5,167.8333333,0.89,0.2775,-0.6125
-47.5,167.8666667,0.924,0.2773,-0.6467
-47.5,167.9,0.962,0.2771,-0.6849
-47.5,167.9333333,1,0.2769,-0.7231
-47.5,167.9666667,1.039,0.2767,-0.7623
-47.5,168,1.079,0.2764,-0.8026
-47.5,168.0333333,1.122,0.2762,-0.8458
-47.5,168.0666667,1.166,0.2759,-0.8901
-47.5,168.1,1.212,0.2756,-0.9364
-47.5,168.1333333,1.26,0.2753,-0.9847
-47.5,168.1666667,1.306,0.2749,-1.0311
-47.5,168.2,1.35,0.2746,-1.0754
-47.5,168.2333333,1.39,0.2742,-1.1158
-47.5,168.2666667,1.429,0.2738,-1.1552
-47.5,168.3,1.468,0.2734,-1.1946
-47.5,168.3333333,1.507,0.2729,-1.2341
-47.5,168.3666667,1.547,0.2725,-1.2745
-47.5,168.4,1.585,0.272,-1.313
-47.5,168.4333333,1.623,0.2716,-1.3514
-47.5,168.4666667,1.659,0.2711,-1.3879
-47.5,168.5,1.696,0.2706,-1.4254
-47.5,168.5333333,1.736,0.2701,-1.4659
-47.5,168.5666667,1.777,0.2697,-1.5073
