Lat,Long,Geoid2016,DBL60,BDL60_NZVD2016
-47.4,170.4666667,3.074,0.2537,-2.8203
-47.4,170.5,3.1,0.2537,-2.8463
-47.4,170.5333333,3.126,0.2537,-2.8723
-47.4,170.5666667,3.154,0.2537,-2.9003
-47.4,170.6,3.179,0.2537,-2.9253
-47.4,170.6333333,3.203,0.2537,-2.9493
-47.4,170.6666667,3.225,0.2537,-2.9713
-47.4,170.7,3.247,0.2537,-2.9933
-47.4,170.7333333,3.268,0.2537,-3.0143
-47.4,170.7666667,3.287,0.2537,-3.0333
-47.4,170.8,3.307,0.2537,-3.0533
-47.4,170.8333333,3.324,0.2537,-3.0703
-47.4,170.8666667,3.338,0.2537,-3.0843
-47.4,170.9,3.349,0.2537,-3.0953
-47.4,170.9333333,3.355,0.2537,-3.1013
-47.4,170.9666667,3.362,0.2537,-3.1083
-47.4,171,3.366,0.2537,-3.1123
-47.4,171.0333333,3.37,0.2537,-3.1163
-47.4,171.0666667,3.375,0.2537,-3.1213
-47.4,171.1,3.376,0.2537,-3.1223
-47.4,171.1333333,3.379,0.2537,-3.1253
-47.4,171.1666667,3.377,0.2537,-3.1233
-47.36666667,166.3333333,4.482,0.2537,-4.2283
-47.36666667,166.3666667,4.365,0.2537,-4.1113
-47.36666667,166.4,4.237,0.2537,-3.9833
-47.36666667,166.4333333,4.092,0.2537,-3.8383
-47.36666667,166.4666667,3.943,0.2537,-3.6893
-47.36666667,166.5,3.787,0.2537,-3.5333
-47.36666667,166.5333333,3.636,0.2537,-3.3823
-47.36666667,166.5666667,3.492,0.2537,-3.2383
-47.36666667,166.6,3.363,0.2537,-3.1093
-47.36666667,166.6333333,3.237,0.2537,-2.9833
-47.36666667,166.6666667,3.117,0.2537,-2.8633
-47.36666667,166.7,2.996,0.2537,-2.7423
-47.36666667,166.7333333,2.867,0.2537,-2.6133
-47.36666667,166.7666667,2.731,0.2537,-2.4773
-47.36666667,166.8,2.584,0.2537,-2.3303
-47.36666667,166.8333333,2.426,0.2537,-2.1723
-47.36666667,166.8666667,2.255,0.2537,-2.0013
-47.36666667,166.9,2.075,0.2405,-1.8345
-47.36666667,166.9333333,1.883,0.2405,-1.6425
-47.36666667,166.9666667,1.685,0.2406,-1.4444
-47.36666667,167,1.488,0.2407,-1.2473
-47.36666667,167.0333333,1.296,0.2407,-1.0553
-47.36666667,167.0666667,1.121,0.2409,-0.8801
-47.36666667,167.1,0.968,0.241,-0.727
-47.36666667,167.1333333,0.838,0.2412,-0.5968
-47.36666667,167.1666667,0.732,0.2414,-0.4906
-47.36666667,167.2,0.651,0.2416,-0.4094
-47.36666667,167.2333333,0.582,0.2418,-0.3402
-47.36666667,167.2666667,0.518,0.2421,-0.2759
-47.36666667,167.3,0.465,0.2423,-0.2227
-47.36666667,167.3333333,0.411,0.2426,-0.1684
-47.36666667,167.3666667,0.359,0.243,-0.116
-47.36666667,167.4,0.314,0.2433,-0.0707
-47.36666667,167.4333333,0.275,0.2437,-0.0313
-47.36666667,167.4666667,0.246,0.2441,-0.0019
-47.36666667,167.5,0.225,0.2445,0.0195
-47.36666667,167.5333333,0.216,0.2449,0.0289
-47.36666667,167.5666667,0.209,0.2453,0.0363
-47.36666667,167.6,0.201,0.2458,0.0448
-47.36666667,167.6333333,0.195,0.2463,0.0513
-47.36666667,167.6666667,0.18,0.2468,0.0668
-47.36666667,167.7,0.162,0.2473,0.0853
-47.36666667,167.7333333,0.148,0.2478,0.0998
-47.36666667,167.7666667,0.136,0.2484,0.1124
-47.36666667,167.8,0.132,0.249,0.117
-47.36666667,167.8333333,0.137,0.2496,0.1126
-47.36666667,167.8666667,0.153,0.2502,0.0972
-47.36666667,167.9,0.174,0.2508,0.0768
-47.36666667,167.9333333,0.199,0.2514,0.0524
-47.36666667,167.9666667,0.225,0.2521,0.0271
-47.36666667,168,0.252,0.2527,0.0007
-47.36666667,168.0333333,0.28,0.2534,-0.0266
-47.36666667,168.0666667,0.308,0.2541,-0.0539
-47.36666667,168.1,0.34,0.2548,-0.0852
-47.36666667,168.1333333,0.374,0.2555,-0.1185
-47.36666667,168.1666667,0.411,0.2563,-0.1547
-47.36666667,168.2,0.449,0.257,-0.192
-47.36666667,168.2333333,0.489,0.2578,-0.2312
-47.36666667,168.2666667,0.531,0.2585,-0.2725
-47.36666667,168.3,0.573,0.2593,-0.3137
-47.36666667,168.3333333,0.616,0.26,-0.356
-47.36666667,168.3666667,0.661,0.2608,-0.4002
-47.36666667,168.4,0.708,0.2616,-0.4464
-47.36666667,168.4333333,0.757,0.2624,-0.4946
-47.36666667,168.4666667,0.808,0.2632,-0.5448
-47.36666667,168.5,0.861,0.264,-0.597
-47.36666667,168.5333333,0.914,0.2648,-0.6492
-47.36666667,168.5666667,0.966,0.2656,-0.7004
-47.36666667,168.6,1.016,0.2664,-0.7496
-47.36666667,168.6333333,1.064,0.2672,-0.7968
-47.36666667,168.6666667,1.112,0.2681,-0.8439
-47.36666667,168.7,1.161,0.2689,-0.8921
-47.36666667,168.7333333,1.212,0.2697,-0.9423
