Lat,Long,Geoid2016,OTP64,OTP64_NZVD16
-37.2,172.2333333,-27.795,0.0773,27.8723
-37.2,172.2666667,-27.834,0.0773,27.9113
-37.2,172.3,-27.877,0.0773,27.9543
-37.2,172.3333333,-27.925,0.0773,28.0023
-37.2,172.3666667,-27.977,0.0773,28.0543
-37.2,172.4,-28.032,0.0773,28.1093
-37.2,172.4333333,-28.085,0.0773,28.1623
-37.2,172.4666667,-28.134,0.0773,28.2113
-37.2,172.5,-28.181,0.0773,28.2583
-37.2,172.5333333,-28.225,0.0773,28.3023
-37.2,172.5666667,-28.27,0.0773,28.3473
-37.2,172.6,-28.316,0.0773,28.3933
-37.2,172.6333333,-28.363,0.0773,28.4403
-37.2,172.6666667,-28.409,0.0773,28.4863
-37.2,172.7,-28.453,0.0773,28.5303
-37.2,172.7333333,-28.494,0.0773,28.5713
-37.2,172.7666667,-28.533,0.0773,28.6103
-37.2,172.8,-28.574,0.0773,28.6513
-37.2,172.8333333,-28.616,0.0773,28.6933
-37.2,172.8666667,-28.664,0.0773,28.7413
-37.2,172.9,-28.717,0.0773,28.7943
-37.2,172.9333333,-28.771,0.0773,28.8483
-37.2,172.9666667,-28.828,0.0773,28.9053
-37.2,173,-28.882,0.0837,28.9657
-37.2,173.0333333,-28.938,0.084,29.022
-37.2,173.0666667,-28.996,0.0842,29.0802
-37.2,173.1,-29.056,0.0845,29.1405
-37.2,173.1333333,-29.117,0.0848,29.2018
-37.2,173.1666667,-29.173,0.0851,29.2581
-37.2,173.2,-29.22,0.0854,29.3054
-37.2,173.2333333,-29.262,0.0858,29.3478
-37.2,173.2666667,-29.3,0.0861,29.3861
-37.2,173.3,-29.341,0.0865,29.4275
-37.2,173.3333333,-29.386,0.0869,29.4729
-37.2,173.3666667,-29.443,0.0873,29.5303
-37.2,173.4,-29.509,0.0876,29.5966
-37.2,173.4333333,-29.58,0.088,29.668
-37.2,173.4666667,-29.659,0.0884,29.7474
-37.2,173.5,-29.742,0.0888,29.8308
-37.2,173.5333333,-29.826,0.0892,29.9152
-37.2,173.5666667,-29.909,0.0896,29.9986
-37.2,173.6,-29.987,0.0899,30.0769
-37.2,173.6333333,-30.063,0.0903,30.1533
-37.2,173.6666667,-30.135,0.0906,30.2256
-37.2,173.7,-30.215,0.091,30.306
-37.2,173.7333333,-30.303,0.0913,30.3943
-37.2,173.7666667,-30.402,0.0916,30.4936
-37.2,173.8,-30.512,0.0919,30.6039
-37.2,173.8333333,-30.627,0.0922,30.7192
-37.2,173.8666667,-30.752,0.0924,30.8444
-37.2,173.9,-30.889,0.0927,30.9817
-37.2,173.9333333,-31.037,0.0929,31.1299
-37.2,173.9666667,-31.196,0.0931,31.2891
-37.2,174,-31.363,0.0933,31.4563
-37.2,174.0333333,-31.529,0.0934,31.6224
-37.2,174.0666667,-31.684,0.0936,31.7776
-37.2,174.1,-31.824,0.0937,31.9177
-37.2,174.1333333,-31.94,0.0938,32.0338
-37.2,174.1666667,-32.029,0.0939,32.1229
-37.2,174.2,-32.086,0.094,32.18
-37.2,174.2333333,-32.124,0.094,32.218
-37.2,174.2666667,-32.158,0.0941,32.2521
-37.2,174.3,-32.182,0.0941,32.2761
-37.2,174.3333333,-32.207,0.0941,32.3011
-37.2,174.3666667,-32.233,0.0941,32.3271
-37.2,174.4,-32.266,0.094,32.36
-37.2,174.4333333,-32.307,0.094,32.401
-37.2,174.4666667,-32.359,0.094,32.453
-37.2,174.5,-32.421,0.0939,32.5149
-37.2,174.5333333,-32.487,0.0938,32.5808
-37.2,174.5666667,-32.553,0.0937,32.6467
-37.2,174.6,-32.619,0.0937,32.7127
-37.2,174.6333333,-32.684,0.0936,32.7776
-37.2,174.6666667,-32.735,0.0935,32.8285
-37.2,174.7,-32.78,0.0934,32.8734
-37.2,174.7333333,-32.839,0.0932,32.9322
-37.2,174.7666667,-32.9,0.0931,32.9931
-37.2,174.8,-32.962,0.093,33.055
-37.2,174.8333333,-33.031,0.0929,33.1239
-37.2,174.8666667,-33.11,0.0928,33.2028
-37.2,174.9,-33.194,0.0927,33.2867
-37.2,174.9333333,-33.285,0.0925,33.3775
-37.2,174.9666667,-33.385,0.0924,33.4774
-37.2,175,-33.481,0.0923,33.5733
-37.2,175.0333333,-33.535,0.0922,33.6272
-37.2,175.0666667,-33.575,0.0921,33.6671
-37.2,175.1,-33.59,0.0919,33.6819
-37.2,175.1333333,-33.612,0.0918,33.7038
-37.2,175.1666667,-33.646,0.0917,33.7377
-37.2,175.2,-33.664,0.0916,33.7556
-37.2,175.2333333,-33.688,0.0915,33.7795
-37.2,175.2666667,-33.704,0.0914,33.7954
-37.2,175.3,-33.685,0.0913,33.7763
-37.2,175.3333333,-33.647,0.0912,33.7382
-37.2,175.3666667,-33.6,0.0911,33.6911
-37.2,175.4,-33.56,0.091,33.651
-37.2,175.4333333,-33.526,0.0909,33.6169
-37.2,175.4666667,-33.519,0.0908,33.6098
-37.2,175.5,-33.518,0.0908,33.6088
-37.2,175.5333333,-33.543,0.0907,33.6337
-37.2,175.5666667,-33.591,0.0906,33.6816
-37.2,175.6,-33.654,0.0906,33.7446
-37.2,175.6333333,-33.743,0.0905,33.8335
-37.2,175.6666667,-33.818,0.0905,33.9085
-37.2,175.7,-33.857,0.0904,33.9474
-37.2,175.7333333,-33.771,0.0904,33.8614
-37.2,175.7666667,-33.708,0.0903,33.7983
-37.2,175.8,-33.602,0.0903,33.6923
-37.2,175.8333333,-33.474,0.0903,33.5643
-37.2,175.8666667,-33.338,0.0903,33.4283
-37.2,175.9,-33.231,0.0902,33.3212
-37.2,175.9333333,-33.13,0.0902,33.2202
-37.2,175.9666667,-33.04,0.0902,33.1302
-37.16666667,171.7333333,-27.53,0.0773,27.6073
-37.16666667,171.7666667,-27.542,0.0773,27.6193
-37.16666667,171.8,-27.554,0.0773,27.6313
-37.16666667,171.8333333,-27.572,0.0773,27.6493
-37.16666667,171.8666667,-27.592,0.0773,27.6693
-37.16666667,171.9,-27.613,0.0773,27.6903
-37.16666667,171.9333333,-27.634,0.0773,27.7113
-37.16666667,171.9666667,-27.657,0.0773,27.7343
-37.16666667,172,-27.681,0.0773,27.7583
-37.16666667,172.0333333,-27.708,0.0773,27.7853
-37.16666667,172.0666667,-27.735,0.0773,27.8123
-37.16666667,172.1,-27.763,0.0773,27.8403
-37.16666667,172.1333333,-27.792,0.0773,27.8693
-37.16666667,172.1666667,-27.823,0.0773,27.9003
-37.16666667,172.2,-27.858,0.0773,27.9353
-37.16666667,172.2333333,-27.899,0.0773,27.9763
-37.16666667,172.2666667,-27.943,0.0773,28.0203
-37.16666667,172.3,-27.99,0.0773,28.0673
