Lat,Long,Geoid2016,AUK46,AUCK46_NZVD2016
-38.63333333,176.5666667,-26.122,0.3002,26.4222
-38.63333333,176.6,-25.987,0.3002,26.2872
-38.63333333,176.6333333,-25.876,0.3002,26.1762
-38.63333333,176.6666667,-25.728,0.3002,26.0282
-38.63333333,176.7,-25.572,0.3002,25.8722
-38.63333333,176.7333333,-25.433,0.3002,25.7332
-38.63333333,176.7666667,-25.346,0.3002,25.6462
-38.63333333,176.8,-25.286,0.3002,25.5862
-38.63333333,176.8333333,-25.151,0.3002,25.4512
-38.63333333,176.8666667,-25.041,0.3002,25.3412
-38.63333333,176.9,-24.896,0.3002,25.1962
-38.63333333,176.9333333,-24.734,0.3002,25.0342
-38.63333333,176.9666667,-24.636,0.3002,24.9362
-38.63333333,177,-24.554,0.3001,24.8541
-38.63333333,177.0333333,-24.501,0.3001,24.8011
-38.63333333,177.0666667,-24.399,0.3001,24.6991
-38.63333333,177.1,-24.328,0.3001,24.6281
-38.63333333,177.1333333,-24.155,0.3001,24.4551
-38.63333333,177.1666667,-23.985,0.3001,24.2851
-38.63333333,177.2,-23.795,0.3001,24.0951
-38.63333333,177.2333333,-23.622,0.3001,23.9221
-38.63333333,177.2666667,-23.482,0.3001,23.7821
-38.63333333,177.3,-23.264,0.3001,23.5641
-38.63333333,177.3333333,-23.15,0.3001,23.4501
-38.63333333,177.3666667,-23.035,0.3001,23.3351
-38.63333333,177.4,-22.915,0.3001,23.2151
-38.63333333,177.4333333,-22.751,0.2919,23.0429
-38.6,172.8,-24.95,0.2919,25.2419
-38.6,172.8333333,-25.004,0.2919,25.2959
-38.6,172.8666667,-25.052,0.2919,25.3439
-38.6,172.9,-25.096,0.2919,25.3879
-38.6,172.9333333,-25.138,0.2919,25.4299
-38.6,172.9666667,-25.179,0.2919,25.4709
-38.6,173,-25.221,0.2919,25.5129
-38.6,173.0333333,-25.26,0.2919,25.5519
-38.6,173.0666667,-25.303,0.2919,25.5949
-38.6,173.1,-25.341,0.2919,25.6329
-38.6,173.1333333,-25.383,0.2919,25.6749
-38.6,173.1666667,-25.426,0.2919,25.7179
-38.6,173.2,-25.469,0.2919,25.7609
-38.6,173.2333333,-25.504,0.2919,25.7959
-38.6,173.2666667,-25.541,0.2919,25.8329
-38.6,173.3,-25.565,0.2919,25.8569
-38.6,173.3333333,-25.587,0.2919,25.8789
-38.6,173.3666667,-25.598,0.2919,25.8899
-38.6,173.4,-25.597,0.2919,25.8889
-38.6,173.4333333,-25.59,0.2919,25.8819
-38.6,173.4666667,-25.58,0.2919,25.8719
-38.6,173.5,-25.569,0.2919,25.8609
-38.6,173.5333333,-25.565,0.2919,25.8569
-38.6,173.5666667,-25.57,0.2919,25.8619
-38.6,173.6,-25.571,0.2919,25.8629
-38.6,173.6333333,-25.571,0.2919,25.8629
-38.6,173.6666667,-25.566,0.2919,25.8579
-38.6,173.7,-25.563,0.2948,25.8578
-38.6,173.7333333,-25.563,0.2948,25.8578
-38.6,173.7666667,-25.571,0.2948,25.8658
-38.6,173.8,-25.588,0.2948,25.8828
-38.6,173.8333333,-25.609,0.2948,25.9038
-38.6,173.8666667,-25.635,0.2948,25.9298
-38.6,173.9,-25.663,0.2948,25.9578
-38.6,173.9333333,-25.694,0.2948,25.9888
-38.6,173.9666667,-25.724,0.2948,26.0188
-38.6,174,-25.75,0.2948,26.0448
-38.6,174.0333333,-25.766,0.2948,26.0608
-38.6,174.0666667,-25.773,0.2948,26.0678
-38.6,174.1,-25.771,0.2948,26.0658
-38.6,174.1333333,-25.77,0.2948,26.0648
-38.6,174.1666667,-25.768,0.2948,26.0628
-38.6,174.2,-25.776,0.2949,26.0709
-38.6,174.2333333,-25.797,0.2949,26.0919
-38.6,174.2666667,-25.832,0.2949,26.1269
-38.6,174.3,-25.883,0.2949,26.1779
-38.6,174.3333333,-25.951,0.2949,26.2459
-38.6,174.3666667,-26.038,0.2949,26.3329
-38.6,174.4,-26.136,0.2949,26.4309
-38.6,174.4333333,-26.242,0.295,26.537
-38.6,174.4666667,-26.352,0.295,26.647
-38.6,174.5,-26.47,0.295,26.765
-38.6,174.5333333,-26.598,0.295,26.893
-38.6,174.5666667,-26.739,0.2951,27.0341
-38.6,174.6,-26.892,0.2951,27.1871
-38.6,174.6333333,-27.061,0.2951,27.3561
-38.6,174.6666667,-27.232,0.2952,27.5272
-38.6,174.7,-27.368,0.2952,27.6632
-38.6,174.7333333,-27.473,0.2952,27.7682
-38.6,174.7666667,-27.526,0.2953,27.8213
-38.6,174.8,-27.585,0.2954,27.8804
-38.6,174.8333333,-27.635,0.2954,27.9304
-38.6,174.8666667,-27.682,0.2955,27.9775
-38.6,174.9,-27.719,0.2956,28.0146
-38.6,174.9333333,-27.795,0.2957,28.0907
-38.6,174.9666667,-27.862,0.2958,28.1578
-38.6,175,-27.944,0.2959,28.2399
-38.6,175.0333333,-28.018,0.296,28.314
-38.6,175.0666667,-28.107,0.2961,28.4031
-38.6,175.1,-28.208,0.2962,28.5042
-38.6,175.1333333,-28.268,0.2964,28.5644
-38.6,175.1666667,-28.345,0.2965,28.6415
-38.6,175.2,-28.428,0.2967,28.7247
-38.6,175.2333333,-28.482,0.2969,28.7789
-38.6,175.2666667,-28.51,0.297,28.807
-38.6,175.3,-28.522,0.2972,28.8192
-38.6,175.3333333,-28.513,0.2974,28.8104
-38.6,175.3666667,-28.54,0.2976,28.8376
-38.6,175.4,-28.579,0.2977,28.8767
-38.6,175.4333333,-28.66,0.2979,28.9579
-38.6,175.4666667,-28.717,0.2981,29.0151
-38.6,175.5,-28.78,0.2983,29.0783
-38.6,175.5333333,-28.833,0.2984,29.1314
-38.6,175.5666667,-28.893,0.2986,29.1916
-38.6,175.6,-28.899,0.2988,29.1978
-38.6,175.6333333,-28.839,0.2989,29.1379
-38.6,175.6666667,-28.687,0.2991,28.9861
-38.6,175.7,-28.493,0.2992,28.7922
-38.6,175.7333333,-28.302,0.2993,28.6013
-38.6,175.7666667,-28.128,0.2994,28.4274
-38.6,175.8,-27.973,0.2995,28.2725
-38.6,175.8333333,-27.837,0.2996,28.1366
-38.6,175.8666667,-27.724,0.2997,28.0237
-38.6,175.9,-27.611,0.2998,27.9108
-38.6,175.9333333,-27.528,0.2999,27.8279
-38.6,175.9666667,-27.448,0.2999,27.7479
-38.6,176,-27.372,0.3,27.672
-38.6,176.0333333,-27.299,0.3,27.599
-38.6,176.0666667,-27.226,0.3001,27.5261
-38.6,176.1,-27.166,0.3001,27.4661
-38.6,176.1333333,-27.097,0.3001,27.3971
-38.6,176.1666667,-27.027,0.3002,27.3272
-38.6,176.2,-26.974,0.3002,27.2742
