Lat,Long,Geoid2016,GSB26,GSB26_NZVD2016
-39.9,178.2666667,-20.118,0.349,20.467
-39.9,178.3,-20.055,0.3488,20.4038
-39.9,178.3333333,-19.97,0.3485,20.3185
-39.9,178.3666667,-19.874,0.3482,20.2222
-39.9,178.4,-19.766,0.348,20.114
-39.9,178.4333333,-19.652,0.3477,19.9997
-39.9,178.4666667,-19.516,0.3475,19.8635
-39.9,178.5,-19.38,0.3472,19.7272
-39.9,178.5333333,-19.25,0.3469,19.5969
-39.9,178.5666667,-19.129,0.3467,19.4757
-39.9,178.6,-19.038,0.3464,19.3844
-39.9,178.6333333,-18.964,0.3462,19.3102
-39.9,178.6666667,-18.913,0.3459,19.2589
-39.9,178.7,-18.888,0.3457,19.2337
-39.9,178.7333333,-18.879,0.3454,19.2244
-39.9,178.7666667,-18.884,0.3452,19.2292
-39.9,178.8,-18.905,0.345,19.25
-39.9,178.8333333,-18.931,0.3447,19.2757
-39.9,178.8666667,-18.972,0.3445,19.3165
-39.9,178.9,-19.023,0.3443,19.3673
-39.9,178.9333333,-19.083,0.3441,19.4271
-39.9,178.9666667,-19.15,0.3439,19.4939
-39.9,179,-19.224,0.3437,19.5677
-39.9,179.0333333,-19.309,0.3435,19.6525
-39.9,179.0666667,-19.403,0.3434,19.7464
-39.9,179.1,-19.508,0.3432,19.8512
-39.9,179.1333333,-19.618,0.3431,19.9611
-39.9,179.1666667,-19.732,0.343,20.075
-39.9,179.2,-19.842,0.3429,20.1849
-39.9,179.2333333,-19.943,0.3428,20.2858
-39.9,179.2666667,-20.035,0.3428,20.3778
-39.9,179.3,-20.115,0.3434,20.4584
-39.9,179.3333333,-20.189,0.3434,20.5324
-39.9,179.3666667,-20.254,0.3434,20.5974
-39.9,179.4,-20.311,0.3434,20.6544
-39.9,179.4333333,-20.359,0.3434,20.7024
-39.9,179.4666667,-20.401,0.3434,20.7444
-39.9,179.5,-20.436,0.3434,20.7794
-39.9,179.5333333,-20.467,0.3434,20.8104
-39.9,179.5666667,-20.497,0.3434,20.8404
-39.9,179.6,-20.531,0.3434,20.8744
-39.9,179.6333333,-20.568,0.3434,20.9114
-39.9,179.6666667,-20.606,0.3434,20.9494
-39.9,179.7,-20.645,0.3434,20.9884
-39.9,179.7333333,-20.683,0.3434,21.0264
-39.9,179.7666667,-20.721,0.3434,21.0644
-39.9,179.8,-20.756,0.3434,21.0994
-39.9,179.8333333,-20.787,0.3434,21.1304
-39.86666667,175.6666667,-15.657,0.3434,16.0004
-39.86666667,175.7,-15.805,0.3434,16.1484
-39.86666667,175.7333333,-15.974,0.3434,16.3174
