Lat,Long,Geoid2016,LTN37,LTN37_NZVD2016
-45.93333333,173.1,-1.108,0.3404,1.4484
-45.93333333,173.1333333,-1.108,0.3404,1.4484
-45.93333333,173.1666667,-1.108,0.3404,1.4484
-45.93333333,173.2,-1.109,0.3404,1.4494
-45.93333333,173.2333333,-1.11,0.3404,1.4504
-45.93333333,173.2666667,-1.109,0.3404,1.4494
-45.93333333,173.3,-1.11,0.3404,1.4504
-45.93333333,173.3333333,-1.114,0.3404,1.4544
-45.93333333,173.3666667,-1.12,0.3404,1.4604
-45.93333333,173.4,-1.13,0.3404,1.4704
-45.93333333,173.4333333,-1.139,0.3404,1.4794
-45.93333333,173.4666667,-1.147,0.3404,1.4874
-45.93333333,173.5,-1.152,0.3404,1.4924
-45.93333333,173.5333333,-1.157,0.3404,1.4974
-45.93333333,173.5666667,-1.165,0.3404,1.5054
-45.93333333,173.6,-1.173,0.3404,1.5134
-45.93333333,173.6333333,-1.179,0.3404,1.5194
-45.93333333,173.6666667,-1.187,0.3404,1.5274
-45.93333333,173.7,-1.195,0.3404,1.5354
-45.93333333,173.7333333,-1.206,0.3404,1.5464
-45.93333333,173.7666667,-1.218,0.3404,1.5584
-45.93333333,173.8,-1.236,0.3404,1.5764
-45.93333333,173.8333333,-1.256,0.3404,1.5964
-45.93333333,173.8666667,-1.278,0.3404,1.6184
-45.93333333,173.9,-1.298,0.3404,1.6384
-45.93333333,173.9333333,-1.312,0.3404,1.6524
-45.93333333,173.9666667,-1.329,0.3404,1.6694
-45.93333333,174,-1.34,0.3404,1.6804
-45.93333333,174.0333333,-1.349,0.3404,1.6894
-45.93333333,174.0666667,-1.357,0.3404,1.6974
-45.93333333,174.1,-1.364,0.3404,1.7044
-45.93333333,174.1333333,-1.37,0.3404,1.7104
-45.93333333,174.1666667,-1.374,0.3404,1.7144
-45.93333333,174.2,-1.378,0.3404,1.7184
-45.93333333,174.2333333,-1.38,0.3404,1.7204
-45.93333333,174.2666667,-1.38,0.3404,1.7204
-45.93333333,174.3,-1.376,0.3404,1.7164
-45.93333333,174.3333333,-1.373,0.3404,1.7134
-45.93333333,174.3666667,-1.372,0.3404,1.7124
-45.93333333,174.4,-1.371,0.3404,1.7114
-45.93333333,174.4333333,-1.376,0.3404,1.7164
-45.93333333,174.4666667,-1.384,0.3404,1.7244
-45.93333333,174.5,-1.394,0.3404,1.7344
-45.93333333,174.5333333,-1.408,0.3404,1.7484
-45.93333333,174.5666667,-1.421,0.3404,1.7614
-45.93333333,174.6,-1.435,0.3404,1.7754
-45.93333333,174.6333333,-1.449,0.3404,1.7894
-45.93333333,174.6666667,-1.464,0.3404,1.8044
-45.93333333,174.7,-1.478,0.3404,1.8184
-45.93333333,174.7333333,-1.488,0.3404,1.8284
-45.93333333,174.7666667,-1.497,0.3404,1.8374
-45.93333333,174.8,-1.508,0.3404,1.8484
-45.93333333,174.8333333,-1.519,0.3404,1.8594
-45.93333333,174.8666667,-1.534,0.3404,1.8744
-45.93333333,174.9,-1.556,0.3404,1.8964
-45.93333333,174.9333333,-1.585,0.3404,1.9254
-45.93333333,174.9666667,-1.617,0.3404,1.9574
-45.93333333,175,-1.65,0.3404,1.9904
-45.93333333,175.0333333,-1.679,0.3404,2.0194
-45.93333333,175.0666667,-1.702,0.3404,2.0424
-45.93333333,175.1,-1.711,0.3404,2.0514
-45.93333333,175.1333333,-1.712,0.3404,2.0524
-45.93333333,175.1666667,-1.707,0.3404,2.0474
-45.9,167.6,-4.817,0.3404,5.1574
-45.9,167.6333333,-4.811,0.3404,5.1514
-45.9,167.6666667,-4.846,0.3404,5.1864
-45.9,167.7,-4.935,0.3404,5.2754
-45.9,167.7333333,-5.046,0.3404,5.3864
-45.9,167.7666667,-5.157,0.3404,5.4974
-45.9,167.8,-5.28,0.3404,5.6204
-45.9,167.8333333,-5.393,0.3404,5.7334
-45.9,167.8666667,-5.487,0.3404,5.8274
-45.9,167.9,-5.561,0.3404,5.9014
-45.9,167.9333333,-5.586,0.3404,5.9264
-45.9,167.9666667,-5.599,0.3404,5.9394
-45.9,168,-5.606,0.3404,5.9464
-45.9,168.0333333,-5.618,0.3404,5.9584
-45.9,168.0666667,-5.581,0.3404,5.9214
-45.9,168.1,-5.535,0.3404,5.8754
-45.9,168.1333333,-5.515,0.3404,5.8554
-45.9,168.1666667,-5.523,0.3404,5.8634
-45.9,168.2,-5.541,0.3404,5.8814
-45.9,168.2333333,-5.536,0.3404,5.8764
-45.9,168.2666667,-5.48,0.3404,5.8204
-45.9,168.3,-5.459,0.3404,5.7994
-45.9,168.3333333,-5.467,0.3404,5.8074
-45.9,168.3666667,-5.501,0.3404,5.8414
-45.9,168.4,-5.557,0.3404,5.8974
-45.9,168.4333333,-5.64,0.3404,5.9804
-45.9,168.4666667,-5.66,0.3404,6.0004
-45.9,168.5,-5.686,0.3404,6.0264
-45.9,168.5333333,-5.68,0.3404,6.0204
-45.9,168.5666667,-5.692,0.3404,6.0324
-45.9,168.6,-5.705,0.3404,6.0454
-45.9,168.6333333,-5.742,0.3404,6.0824
-45.9,168.6666667,-5.773,0.3404,6.1134
-45.9,168.7,-5.819,0.3404,6.1594
-45.9,168.7333333,-5.886,0.3404,6.2264
-45.9,168.7666667,-5.961,0.3404,6.3014
-45.9,168.8,-6.051,0.3404,6.3914
-45.9,168.8333333,-6.159,0.3404,6.4994
-45.9,168.8666667,-6.251,0.3404,6.5914
-45.9,168.9,-6.353,0.3404,6.6934
-45.9,168.9333333,-6.417,0.3404,6.7574
-45.9,168.9666667,-6.47,0.3404,6.8104
-45.9,169,-6.523,0.3404,6.8634
-45.9,169.0333333,-6.559,0.3404,6.8994
-45.9,169.0666667,-6.582,0.3404,6.9224
-45.9,169.1,-6.603,0.3404,6.9434
-45.9,169.1333333,-6.623,0.3404,6.9634
-45.9,169.1666667,-6.624,0.3404,6.9644
-45.9,169.2,-6.632,0.3404,6.9724
-45.9,169.2333333,-6.652,0.3404,6.9924
-45.9,169.2666667,-6.689,0.3247,7.0137
-45.9,169.3,-6.736,0.3247,7.0607
-45.9,169.3333333,-6.806,0.3249,7.1309
-45.9,169.3666667,-6.898,0.3252,7.2232
-45.9,169.4,-6.9,0.3255,7.2255
-45.9,169.4333333,-6.848,0.3259,7.1739
-45.9,169.4666667,-6.795,0.3261,7.1211
-45.9,169.5,-6.732,0.3264,7.0584
