Lat,Long,Geoid2016,MOT53,MOT53_NZVD2016
-41.56666667,175.7666667,-13.458,0.2754,13.7334
-41.56666667,175.8,-13.409,0.2753,13.6843
-41.56666667,175.8333333,-13.358,0.2752,13.6332
-41.56666667,175.8666667,-13.309,0.2751,13.5841
-41.56666667,175.9,-13.257,0.2751,13.5321
-41.56666667,175.9333333,-13.215,0.275,13.49
-41.56666667,175.9666667,-13.185,0.275,13.46
-41.56666667,176,-13.162,0.275,13.437
-41.56666667,176.0333333,-13.144,0.275,13.419
-41.56666667,176.0666667,-13.122,0.275,13.397
-41.56666667,176.1,-13.103,0.275,13.378
-41.56666667,176.1333333,-13.076,0.275,13.351
-41.56666667,176.1666667,-13.049,0.275,13.324
-41.56666667,176.2,-13.03,0.275,13.305
-41.56666667,176.2333333,-13.027,0.275,13.302
-41.56666667,176.2666667,-13.014,0.2751,13.2891
-41.56666667,176.3,-13.02,0.2751,13.2951
-41.56666667,176.3333333,-13.031,0.2751,13.3061
-41.56666667,176.3666667,-13.044,0.2752,13.3192
-41.56666667,176.4,-13.063,0.2752,13.3382
-41.56666667,176.4333333,-13.08,0.2753,13.3553
-41.56666667,176.4666667,-13.096,0.2753,13.3713
-41.56666667,176.5,-13.106,0.2754,13.3814
-41.56666667,176.5333333,-13.105,0.2754,13.3804
-41.56666667,176.5666667,-13.095,0.2755,13.3705
-41.56666667,176.6,-13.072,0.2755,13.3475
-41.56666667,176.6333333,-13.047,0.2755,13.3225
-41.56666667,176.6666667,-13.016,0.2756,13.2916
-41.56666667,176.7,-12.991,0.2756,13.2666
-41.56666667,176.7333333,-12.981,0.2757,13.2567
-41.56666667,176.7666667,-12.975,0.2757,13.2507
-41.56666667,176.8,-12.973,0.2757,13.2487
-41.56666667,176.8333333,-12.983,0.2758,13.2588
-41.56666667,176.8666667,-12.995,0.2758,13.2708
-41.56666667,176.9,-13.013,0.3093,13.3223
-41.56666667,176.9333333,-13.024,0.3093,13.3333
-41.56666667,176.9666667,-13.044,0.3093,13.3533
-41.56666667,177,-13.068,0.3093,13.3773
-41.56666667,177.0333333,-13.096,0.3093,13.4053
-41.56666667,177.0666667,-13.128,0.3093,13.4373
-41.56666667,177.1,-13.169,0.3093,13.4783
-41.56666667,177.1333333,-13.206,0.3093,13.5153
-41.56666667,177.1666667,-13.244,0.3093,13.5533
-41.56666667,177.2,-13.282,0.3093,13.5913
-41.56666667,177.2333333,-13.324,0.3093,13.6333
-41.56666667,177.2666667,-13.361,0.3093,13.6703
-41.56666667,177.3,-13.402,0.3093,13.7113
-41.56666667,177.3333333,-13.445,0.3093,13.7543
-41.56666667,177.3666667,-13.492,0.3093,13.8013
