Lat,Long,Geoid2016,NPR62,NPR62_NZVD2016
-41.3,176.7666667,-14.995,0.2416,15.2366
-41.3,176.8,-14.978,0.2415,15.2195
-41.3,176.8333333,-14.955,0.2413,15.1963
-41.3,176.8666667,-14.917,0.2411,15.1581
-41.3,176.9,-14.87,0.2409,15.1109
-41.3,176.9333333,-14.823,0.2407,15.0637
-41.3,176.9666667,-14.777,0.2405,15.0175
-41.3,177,-14.74,0.2403,14.9803
-41.3,177.0333333,-14.717,0.2401,14.9571
-41.3,177.0666667,-14.701,0.2399,14.9409
-41.3,177.1,-14.697,0.2397,14.9367
-41.3,177.1333333,-14.697,0.2394,14.9364
-41.3,177.1666667,-14.695,0.2392,14.9342
-41.3,177.2,-14.689,0.239,14.928
-41.3,177.2333333,-14.678,0.2388,14.9168
-41.3,177.2666667,-14.662,0.2387,14.9007
-41.3,177.3,-14.648,0.2385,14.8865
-41.3,177.3333333,-14.636,0.2384,14.8744
-41.3,177.3666667,-14.628,0.2383,14.8663
-41.3,177.4,-14.626,0.2026,14.8286
-41.3,177.4333333,-14.627,0.2026,14.8296
-41.3,177.4666667,-14.632,0.2026,14.8346
-41.3,177.5,-14.636,0.2026,14.8386
-41.3,177.5333333,-14.645,0.2026,14.8476
-41.3,177.5666667,-14.653,0.2026,14.8556
-41.3,177.6,-14.665,0.2026,14.8676
-41.3,177.6333333,-14.677,0.2026,14.8796
-41.3,177.6666667,-14.686,0.2026,14.8886
-41.3,177.7,-14.699,0.2026,14.9016
-41.3,177.7333333,-14.719,0.2026,14.9216
-41.3,177.7666667,-14.74,0.2026,14.9426
-41.3,177.8,-14.768,0.2026,14.9706
-41.3,177.8333333,-14.8,0.2026,15.0026
-41.3,177.8666667,-14.836,0.2026,15.0386
-41.3,177.9,-14.878,0.2026,15.0806
-41.3,177.9333333,-14.924,0.2026,15.1266
-41.3,177.9666667,-14.981,0.2026,15.1836
-41.3,178,-15.046,0.2026,15.2486
-41.3,178.0333333,-15.125,0.2026,15.3276
-41.3,178.0666667,-15.214,0.2026,15.4166
-41.3,178.1,-15.305,0.2026,15.5076
-41.3,178.1333333,-15.391,0.2026,15.5936
-41.3,178.1666667,-15.468,0.2026,15.6706
-41.3,178.2,-15.528,0.2026,15.7306
-41.3,178.2333333,-15.577,0.2026,15.7796
-41.3,178.2666667,-15.618,0.2026,15.8206
-41.3,178.3,-15.668,0.2026,15.8706
-41.3,178.3333333,-15.722,0.2026,15.9246
-41.3,178.3666667,-15.793,0.2026,15.9956
-41.3,178.4,-15.877,0.2026,16.0796
-41.3,178.4333333,-15.965,0.2026,16.1676
-41.3,178.4666667,-16.058,0.2026,16.2606
-41.3,178.5,-16.151,0.2026,16.3536
-41.3,178.5333333,-16.248,0.2026,16.4506
-41.3,178.5666667,-16.351,0.2026,16.5536
-41.3,178.6,-16.46,0.2026,16.6626
-41.3,178.6333333,-16.573,0.2026,16.7756
-41.3,178.6666667,-16.691,0.2026,16.8936
-41.3,178.7,-16.809,0.2026,17.0116
-41.3,178.7333333,-16.924,0.2026,17.1266
-41.3,178.7666667,-17.035,0.2026,17.2376
-41.3,178.8,-17.142,0.2026,17.3446
-41.3,178.8333333,-17.241,0.2026,17.4436
-41.3,178.8666667,-17.333,0.2026,17.5356
-41.3,178.9,-17.412,0.2026,17.6146
-41.3,178.9333333,-17.484,0.2026,17.6866
-41.3,178.9666667,-17.546,0.2026,17.7486
-41.3,179,-17.603,0.2026,17.8056
-41.3,179.0333333,-17.658,0.2026,17.8606
-41.3,179.0666667,-17.711,0.2026,17.9136
-41.3,179.1,-17.766,0.2026,17.9686
-41.3,179.1333333,-17.816,0.2026,18.0186
-41.3,179.1666667,-17.866,0.2026,18.0686
-41.3,179.2,-17.908,0.2026,18.1106
-41.3,179.2333333,-17.945,0.2026,18.1476
-41.3,179.2666667,-17.977,0.2026,18.1796
-41.26666667,174.4,-12.305,0.2367,12.5417
-41.26666667,174.4333333,-12.246,0.2367,12.4827
-41.26666667,174.4666667,-12.2,0.2367,12.4367
-41.26666667,174.5,-12.191,0.2368,12.4278
-41.26666667,174.5333333,-12.229,0.2368,12.4658
-41.26666667,174.5666667,-12.303,0.2368,12.5398
-41.26666667,174.6,-12.4,0.2368,12.6368
-41.26666667,174.6333333,-12.553,0.2369,12.7899
-41.26666667,174.6666667,-12.678,0.2369,12.9149
-41.26666667,174.7,-12.793,0.2369,13.0299
-41.26666667,174.7333333,-12.918,0.237,13.155
-41.26666667,174.7666667,-13.01,0.2371,13.2471
-41.26666667,174.8,-13.097,0.2371,13.3341
-41.26666667,174.8333333,-13.216,0.2372,13.4532
-41.26666667,174.8666667,-13.364,0.2373,13.6013
-41.26666667,174.9,-13.53,0.2373,13.7673
-41.26666667,174.9333333,-13.737,0.2374,13.9744
-41.26666667,174.9666667,-13.928,0.2375,14.1655
-41.26666667,175,-14.121,0.2376,14.3586
-41.26666667,175.0333333,-14.325,0.2377,14.5627
-41.26666667,175.0666667,-14.434,0.2378,14.6718
-41.26666667,175.1,-14.499,0.2379,14.7369
-41.26666667,175.1333333,-14.523,0.238,14.761
-41.26666667,175.1666667,-14.571,0.2381,14.8091
-41.26666667,175.2,-14.657,0.2383,14.8953
-41.26666667,175.2333333,-14.798,0.2384,15.0364
-41.26666667,175.2666667,-14.95,0.2385,15.1885
-41.26666667,175.3,-15.097,0.2387,15.3357
-41.26666667,175.3333333,-15.27,0.2388,15.5088
-41.26666667,175.3666667,-15.426,0.239,15.665
-41.26666667,175.4,-15.558,0.2391,15.7971
-41.26666667,175.4333333,-15.688,0.2393,15.9273
-41.26666667,175.4666667,-15.782,0.2394,16.0214
-41.26666667,175.5,-15.868,0.2396,16.1076
-41.26666667,175.5333333,-15.966,0.2397,16.2057
-41.26666667,175.5666667,-16.051,0.2399,16.2909
-41.26666667,175.6,-16.127,0.2401,16.3671
-41.26666667,175.6333333,-16.224,0.2402,16.4642
-41.26666667,175.6666667,-16.284,0.2404,16.5244
-41.26666667,175.7,-16.371,0.2406,16.6116
-41.26666667,175.7333333,-16.458,0.2407,16.6987
-41.26666667,175.7666667,-16.52,0.2409,16.7609
-41.26666667,175.8,-16.559,0.241,16.8
-41.26666667,175.8333333,-16.559,0.2412,16.8002
-41.26666667,175.8666667,-16.513,0.2414,16.7544
-41.26666667,175.9,-16.449,0.2415,16.6905
-41.26666667,175.9333333,-16.4,0.2417,16.6417
-41.26666667,175.9666667,-16.358,0.2418,16.5998
-41.26666667,176,-16.31,0.2419,16.5519
-41.26666667,176.0333333,-16.259,0.242,16.501
-41.26666667,176.0666667,-16.192,0.2422,16.4342
-41.26666667,176.1,-16.119,0.2423,16.3613
-41.26666667,176.1333333,-16.035,0.2424,16.2774
-41.26666667,176.1666667,-15.937,0.2425,16.1795
-41.26666667,176.2,-15.826,0.2425,16.0685
-41.26666667,176.2333333,-15.708,0.2426,15.9506
-41.26666667,176.2666667,-15.601,0.2426,15.8436
-41.26666667,176.3,-15.516,0.2427,15.7587
-41.26666667,176.3333333,-15.44,0.2427,15.6827
-41.26666667,176.3666667,-15.396,0.2427,15.6387
