Lat,Long,Geoid2016,WGN53,WGN53_NZVD2016
-42.36666667,174.4333333,-8.514,0.4135,8.9275
-42.36666667,174.4666667,-8.442,0.4139,8.8559
-42.36666667,174.5,-8.372,0.4143,8.7863
-42.36666667,174.5333333,-8.313,0.4147,8.7277
-42.36666667,174.5666667,-8.266,0.4152,8.6812
-42.36666667,174.6,-8.218,0.4156,8.6336
-42.36666667,174.6333333,-8.182,0.4161,8.5981
-42.36666667,174.6666667,-8.149,0.4165,8.5655
-42.36666667,174.7,-8.126,0.417,8.543
-42.36666667,174.7333333,-8.115,0.4174,8.5324
-42.36666667,174.7666667,-8.111,0.4179,8.5289
-42.36666667,174.8,-8.117,0.4184,8.5354
-42.36666667,174.8333333,-8.133,0.4188,8.5518
-42.36666667,174.8666667,-8.156,0.4193,8.5753
-42.36666667,174.9,-8.184,0.4198,8.6038
-42.36666667,174.9333333,-8.212,0.4202,8.6322
-42.36666667,174.9666667,-8.237,0.4207,8.6577
-42.36666667,175,-8.261,0.4212,8.6822
-42.36666667,175.0333333,-8.288,0.4217,8.7097
-42.36666667,175.0666667,-8.315,0.4221,8.7371
-42.36666667,175.1,-8.352,0.4226,8.7746
-42.36666667,175.1333333,-8.392,0.4231,8.8151
-42.36666667,175.1666667,-8.442,0.4235,8.8655
-42.36666667,175.2,-8.496,0.424,8.92
-42.36666667,175.2333333,-8.548,0.4245,8.9725
-42.36666667,175.2666667,-8.603,0.4249,9.0279
-42.36666667,175.3,-8.657,0.4254,9.0824
-42.36666667,175.3333333,-8.715,0.4259,9.1409
-42.36666667,175.3666667,-8.777,0.4263,9.2033
-42.36666667,175.4,-8.837,0.4268,9.2638
-42.36666667,175.4333333,-8.901,0.4272,9.3282
-42.36666667,175.4666667,-8.968,0.4276,9.3956
-42.36666667,175.5,-9.036,0.4281,9.4641
-42.36666667,175.5333333,-9.106,0.4285,9.5345
-42.36666667,175.5666667,-9.179,0.4289,9.6079
-42.36666667,175.6,-9.25,0.4293,9.6793
-42.36666667,175.6333333,-9.32,0.4297,9.7497
-42.36666667,175.6666667,-9.387,0.4301,9.8171
-42.36666667,175.7,-9.451,0.4305,9.8815
-42.36666667,175.7333333,-9.515,0.4309,9.9459
-42.36666667,175.7666667,-9.582,0.4312,10.0132
-42.36666667,175.8,-9.651,0.4316,10.0826
-42.36666667,175.8333333,-9.723,0.4319,10.1549
-42.36666667,175.8666667,-9.798,0.4322,10.2302
-42.36666667,175.9,-9.875,0.4325,10.3075
-42.36666667,175.9333333,-9.952,0.4328,10.3848
-42.36666667,175.9666667,-10.029,0.4331,10.4621
-42.36666667,176,-10.109,0.4334,10.5424
-42.36666667,176.0333333,-10.188,0.4337,10.6217
-42.36666667,176.0666667,-10.268,0.4339,10.7019
-42.36666667,176.1,-10.343,0.4342,10.7772
-42.36666667,176.1333333,-10.415,0.4344,10.8494
-42.36666667,176.1666667,-10.486,0.4346,10.9206
-42.36666667,176.2,-10.551,0.4348,10.9858
