Lat,Long,Geoid2016,DUN58,DUN58_NZVD2016
-47.3,168.5,0.48,0.3173,-0.1627
-47.3,168.5333333,0.524,0.3173,-0.2067
-47.3,168.5666667,0.567,0.3173,-0.2497
-47.3,168.6,0.609,0.3174,-0.2916
-47.3,168.6333333,0.653,0.3174,-0.3356
-47.3,168.6666667,0.697,0.3175,-0.3795
-47.3,168.7,0.744,0.3175,-0.4265
-47.3,168.7333333,0.791,0.3176,-0.4734
-47.3,168.7666667,0.838,0.3176,-0.5204
-47.3,168.8,0.886,0.3177,-0.5683
-47.3,168.8333333,0.932,0.3177,-0.6143
-47.3,168.8666667,0.981,0.3178,-0.6632
-47.3,168.9,1.031,0.3179,-0.7131
-47.3,168.9333333,1.08,0.3179,-0.7621
-47.3,168.9666667,1.129,0.318,-0.811
-47.3,169,1.176,0.3181,-0.8579
-47.3,169.0333333,1.218,0.3182,-0.8998
-47.3,169.0666667,1.257,0.3183,-0.9387
-47.3,169.1,1.295,0.3183,-0.9767
-47.3,169.1333333,1.33,0.3184,-1.0116
-47.3,169.1666667,1.368,0.3185,-1.0495
-47.3,169.2,1.409,0.3187,-1.0903
-47.3,169.2333333,1.453,0.3188,-1.1342
-47.3,169.2666667,1.5,0.3189,-1.1811
-47.3,169.3,1.547,0.319,-1.228
-47.3,169.3333333,1.591,0.3191,-1.2719
-47.3,169.3666667,1.63,0.3193,-1.3107
-47.3,169.4,1.664,0.3194,-1.3446
-47.3,169.4333333,1.685,0.3196,-1.3654
-47.3,169.4666667,1.705,0.3197,-1.3853
-47.3,169.5,1.718,0.3199,-1.3981
-47.3,169.5333333,1.728,0.3201,-1.4079
-47.3,169.5666667,1.739,0.3203,-1.4187
-47.3,169.6,1.753,0.3204,-1.4326
-47.3,169.6333333,1.771,0.3206,-1.4504
-47.3,169.6666667,1.793,0.3209,-1.4721
-47.3,169.7,1.822,0.3211,-1.5009
-47.3,169.7333333,1.857,0.3213,-1.5357
-47.3,169.7666667,1.895,0.3215,-1.5735
-47.3,169.8,1.938,0.3218,-1.6162
-47.3,169.8333333,1.983,0.322,-1.661
-47.3,169.8666667,2.031,0.3223,-1.7087
-47.3,169.9,2.079,0.3225,-1.7565
-47.3,169.9333333,2.127,0.3228,-1.8042
-47.3,169.9666667,2.173,0.3231,-1.8499
-47.3,170,2.219,0.3233,-1.8957
-47.3,170.0333333,2.264,0.3236,-1.9404
-47.3,170.0666667,2.307,0.3239,-1.9831
-47.3,170.1,2.35,0.3242,-2.0258
-47.3,170.1333333,2.392,0.3245,-2.0675
-47.3,170.1666667,2.434,0.3248,-2.1092
-47.3,170.2,2.472,0.3251,-2.1469
-47.3,170.2333333,2.508,0.3254,-2.1826
-47.3,170.2666667,2.543,0.3257,-2.2173
-47.3,170.3,2.575,0.326,-2.249
-47.3,170.3333333,2.606,0.3263,-2.2797
-47.3,170.3666667,2.635,0.3266,-2.3084
-47.3,170.4,2.664,0.3269,-2.3371
-47.3,170.4333333,2.692,0.3271,-2.3649
-47.3,170.4666667,2.719,0.3274,-2.3916
-47.3,170.5,2.747,0.3277,-2.4193
-47.3,170.5333333,2.776,0.328,-2.448
-47.3,170.5666667,2.806,0.3282,-2.4778
-47.3,170.6,2.837,0.3285,-2.5085
-47.3,170.6333333,2.866,0.3287,-2.5373
-47.3,170.6666667,2.892,0.329,-2.563
-47.3,170.7,2.914,0.3292,-2.5848
-47.3,170.7333333,2.933,0.3294,-2.6036
-47.3,170.7666667,2.949,0.3296,-2.6194
-47.3,170.8,2.964,0.3298,-2.6342
-47.3,170.8333333,2.98,0.33,-2.65
-47.3,170.8666667,2.996,0.3302,-2.6658
-47.3,170.9,3.011,0.3304,-2.6806
-47.3,170.9333333,3.025,0.3305,-2.6945
-47.3,170.9666667,3.038,0.3307,-2.7073
-47.3,171,3.048,0.3308,-2.7172
-47.3,171.0333333,3.053,0.3309,-2.7221
-47.3,171.0666667,3.053,0.331,-2.722
-47.3,171.1,3.05,0.3311,-2.7189
-47.3,171.1333333,3.04,0.3311,-2.7089
-47.3,171.1666667,3.026,0.3311,-2.6949
-47.3,171.2,3.009,0.3257,-2.6833
-47.3,171.2333333,2.993,0.3257,-2.6673
-47.3,171.2666667,2.979,0.3257,-2.6533
-47.3,171.3,2.965,0.3257,-2.6393
-47.3,171.3333333,2.954,0.3257,-2.6283
-47.3,171.3666667,2.941,0.3257,-2.6153
-47.3,171.4,2.931,0.3257,-2.6053
-47.3,171.4333333,2.921,0.3257,-2.5953
-47.3,171.4666667,2.913,0.3257,-2.5873
-47.3,171.5,2.904,0.3257,-2.5783
-47.3,171.5333333,2.899,0.3257,-2.5733
-47.3,171.5666667,2.892,0.3257,-2.5663
-47.3,171.6,2.886,0.3257,-2.5603
-47.3,171.6333333,2.88,0.3257,-2.5543
-47.3,171.6666667,2.875,0.3257,-2.5493
-47.3,171.7,2.87,0.3257,-2.5443
-47.3,171.7333333,2.869,0.3257,-2.5433
-47.3,171.7666667,2.868,0.3257,-2.5423
-47.3,171.8,2.87,0.3257,-2.5443
-47.3,171.8333333,2.873,0.3257,-2.5473
-47.3,171.8666667,2.878,0.3257,-2.5523
-47.3,171.9,2.88,0.3257,-2.5543
-47.3,171.9333333,2.882,0.3257,-2.5563
-47.3,171.9666667,2.883,0.3257,-2.5573
-47.3,172,2.882,0.3257,-2.5563
-47.3,172.0333333,2.882,0.3257,-2.5563
-47.3,172.0666667,2.88,0.3257,-2.5543
-47.3,172.1,2.877,0.3257,-2.5513
-47.3,172.1333333,2.871,0.3257,-2.5453
-47.3,172.1666667,2.863,0.3257,-2.5373
-47.3,172.2,2.856,0.3257,-2.5303
-47.3,172.2333333,2.848,0.3257,-2.5223
-47.3,172.2666667,2.844,0.3257,-2.5183
-47.3,172.3,2.838,0.3257,-2.5123
-47.3,172.3333333,2.828,0.3257,-2.5023
-47.3,172.3666667,2.815,0.3257,-2.4893
-47.3,172.4,2.801,0.3257,-2.4753
-47.3,172.4333333,2.787,0.3257,-2.4613
-47.3,172.4666667,2.78,0.3257,-2.4543
-47.3,172.5,2.783,0.3257,-2.4573
-47.3,172.5333333,2.795,0.3257,-2.4693
-47.26666667,167.2333333,0.284,0.3257,0.0417
-47.26666667,167.2666667,0.207,0.3257,0.1187
-47.26666667,167.3,0.124,0.3257,0.2017
-47.26666667,167.3333333,0.037,0.3257,0.2887
-47.26666667,167.3666667,-0.052,0.3257,0.3777
-47.26666667,167.4,-0.135,0.3257,0.4607
-47.26666667,167.4333333,-0.207,0.3257,0.5327
-47.26666667,167.4666667,-0.29,0.3257,0.6157
-47.26666667,167.5,-0.345,0.3257,0.6707
-47.26666667,167.5333333,-0.367,0.3257,0.6927
-47.26666667,167.5666667,-0.332,0.3257,0.6577
-47.26666667,167.6,-0.302,0.3257,0.6277
-47.26666667,167.6333333,-0.288,0.3257,0.6137
-47.26666667,167.6666667,-0.271,0.3257,0.5967
-47.26666667,167.7,-0.259,0.3257,0.5847
-47.26666667,167.7333333,-0.25,0.3257,0.5757
-47.26666667,167.7666667,-0.238,0.3257,0.5637
-47.26666667,167.8,-0.233,0.3257,0.5587
-47.26666667,167.8333333,-0.223,0.3257,0.5487
-47.26666667,167.8666667,-0.212,0.3257,0.5377
-47.26666667,167.9,-0.196,0.3257,0.5217
-47.26666667,167.9333333,-0.186,0.3257,0.5117
-47.26666667,167.9666667,-0.167,0.3257,0.4927
-47.26666667,168,-0.145,0.3257,0.4707
-47.26666667,168.0333333,-0.124,0.3257,0.4497
-47.26666667,168.0666667,-0.098,0.3257,0.4237
-47.26666667,168.1,-0.07,0.3257,0.3957
-47.26666667,168.1333333,-0.045,0.3257,0.3707
-47.26666667,168.1666667,-0.016,0.3257,0.3417
-47.26666667,168.2,0.012,0.3257,0.3137
-47.26666667,168.2333333,0.041,0.3257,0.2847
-47.26666667,168.2666667,0.074,0.3171,0.2431
-47.26666667,168.3,0.1,0.3171,0.2171
-47.26666667,168.3333333,0.129,0.3171,0.1881
-47.26666667,168.3666667,0.163,0.3171,0.1541
-47.26666667,168.4,0.199,0.3172,0.1182
-47.26666667,168.4333333,0.242,0.3172,0.0752
-47.26666667,168.4666667,0.284,0.3172,0.0332
-47.26666667,168.5,0.326,0.3172,-0.0088
-47.26666667,168.5333333,0.366,0.3173,-0.0487
-47.26666667,168.5666667,0.405,0.3173,-0.0877
-47.26666667,168.6,0.443,0.3174,-0.1256
-47.26666667,168.6333333,0.481,0.3174,-0.1636
-47.26666667,168.6666667,0.522,0.3175,-0.2045
-47.26666667,168.7,0.566,0.3175,-0.2485
