Lat,Long,Geoid2016,NSN55,NSN55_NZVD16
-43.53333333,174.6,-12.167,0.3285,12.4955
-43.53333333,174.6333333,-12.246,0.3285,12.5745
-43.53333333,174.6666667,-12.324,0.3285,12.6525
-43.53333333,174.7,-12.401,0.3285,12.7295
-43.53333333,174.7333333,-12.479,0.3285,12.8075
-43.53333333,174.7666667,-12.558,0.3285,12.8865
-43.53333333,174.8,-12.633,0.3285,12.9615
-43.53333333,174.8333333,-12.709,0.3285,13.0375
-43.53333333,174.8666667,-12.783,0.3285,13.1115
-43.53333333,174.9,-12.863,0.3285,13.1915
-43.53333333,174.9333333,-12.946,0.3285,13.2745
-43.53333333,174.9666667,-13.03,0.3285,13.3585
-43.53333333,175,-13.114,0.3285,13.4425
-43.53333333,175.0333333,-13.196,0.3285,13.5245
-43.53333333,175.0666667,-13.272,0.3285,13.6005
-43.53333333,175.1,-13.343,0.3285,13.6715
-43.53333333,175.1333333,-13.406,0.3285,13.7345
-43.53333333,175.1666667,-13.46,0.3285,13.7885
-43.53333333,175.2,-13.502,0.3285,13.8305
-43.53333333,175.2333333,-13.538,0.3285,13.8665
-43.53333333,175.2666667,-13.567,0.3285,13.8955
-43.53333333,175.3,-13.593,0.3285,13.9215
-43.53333333,175.3333333,-13.614,0.3285,13.9425
-43.53333333,175.3666667,-13.628,0.3285,13.9565
-43.53333333,175.4,-13.635,0.3285,13.9635
-43.53333333,175.4333333,-13.636,0.3285,13.9645
-43.53333333,175.4666667,-13.629,0.3285,13.9575
-43.53333333,175.5,-13.621,0.3285,13.9495
-43.53333333,175.5333333,-13.612,0.3285,13.9405
-43.53333333,175.5666667,-13.602,0.3285,13.9305
-43.53333333,175.6,-13.597,0.3285,13.9255
-43.5,170.4333333,-14.153,0.3285,14.4815
-43.5,170.4666667,-13.988,0.3285,14.3165
-43.5,170.5,-14.004,0.3285,14.3325
-43.5,170.5333333,-14.211,0.3285,14.5395
-43.5,170.5666667,-14.414,0.3285,14.7425
-43.5,170.6,-14.507,0.3285,14.8355
-43.5,170.6333333,-14.429,0.3285,14.7575
-43.5,170.6666667,-14.281,0.3285,14.6095
-43.5,170.7,-14.162,0.3285,14.4905
-43.5,170.7333333,-14.038,0.3285,14.3665
-43.5,170.7666667,-14.031,0.3285,14.3595
-43.5,170.8,-13.991,0.3285,14.3195
-43.5,170.8333333,-13.907,0.3285,14.2355
-43.5,170.8666667,-13.965,0.3285,14.2935
